name,roll,branch,subject,section,password
Arjun Mehta,IT051,BTECH-IT,IT_SEM1,A,123
Aditya Yadav,IT052,BTECH-IT,IT_SEM1,A,123
Priya Kumar,IT053,BTECH-IT,IT_SEM1,A,123
Vivaan Agarwal,IT054,BTECH-IT,IT_SEM1,A,123
Siddharth Rathore,IT055,BTECH-IT,IT_SEM1,A,123
Anika Kapoor,IT056,BTECH-IT,IT_SEM1,A,123
Vivaan Rathore,IT057,BTECH-IT,IT_SEM1,A,123
Myra Jain,IT058,BTECH-IT,IT_SEM1,A,123
Riya Saxena,IT059,BTECH-IT,IT_SEM1,A,123
Reyansh Chauhan,IT060,BTECH-IT,IT_SEM1,A,123
Dev Bansal,IT061,BTECH-IT,IT_SEM1,B,123
Sai Agarwal,IT062,BTECH-IT,IT_SEM1,B,123
Naina Chauhan,IT063,BTECH-IT,IT_SEM1,B,123
Aarav Singh,IT064,BTECH-IT,IT_SEM1,B,123
Sneha Chopra,IT065,BTECH-IT,IT_SEM1,B,123
Nikhil Mittal,IT066,BTECH-IT,IT_SEM1,B,123
Nikhil Kapoor,IT067,BTECH-IT,IT_SEM1,B,123
Rashmi Kumar,IT068,BTECH-IT,IT_SEM1,B,123
Myra Kumar,IT069,BTECH-IT,IT_SEM1,B,123
Neha Yadav,IT070,BTECH-IT,IT_SEM1,B,123
Myra Yadav,IT071,BTECH-IT,IT_SEM1,B,123
Meera Chopra,IT072,BTECH-IT,IT_SEM1,B,123
Vihaan Mittal,IT073,BTECH-IT,IT_SEM1,B,123
Diya Kapoor,IT074,BTECH-IT,IT_SEM1,B,123
Aarav Jain,IT075,BTECH-IT,IT_SEM1,B,123
Dev Tiwari,IT076,BTECH-IT,IT_SEM1,B,123
Yash Chauhan,IT077,BTECH-IT,IT_SEM1,B,123
Pooja Verma,IT078,BTECH-IT,IT_SEM1,B,123
Nikhil Kumar,IT079,BTECH-IT,IT_SEM1,B,123
Neha Pandey,IT080,BTECH-IT,IT_SEM1,B,123
Aditya Singh,IT081,BTECH-IT,IT_SEM1,B,123
Kunal Sharma,IT082,BTECH-IT,IT_SEM1,B,123
Reyansh Mehta,IT083,BTECH-IT,IT_SEM1,B,123
Kriti Singh,IT084,BTECH-IT,IT_SEM1,B,123
Kunal Saxena,IT085,BTECH-IT,IT_SEM1,B,123
Arjun Kapoor,IT086,BTECH-IT,IT_SEM1,B,123
Ishaan Tiwari,IT087,BTECH-IT,IT_SEM1,B,123
Aryan Mittal,IT088,BTECH-IT,IT_SEM1,B,123
Tanvi Gupta,IT089,BTECH-IT,IT_SEM1,B,123
Reyansh Chopra,IT090,BTECH-IT,IT_SEM1,B,123
Sara Chopra,IT091,BTECH-IT,IT_SEM1,B,123
Yash Yadav,IT092,BTECH-IT,IT_SEM1,B,123
Nikhil Agarwal,IT093,BTECH-IT,IT_SEM1,B,123
Krishna Yadav,IT094,BTECH-IT,IT_SEM1,B,123
Aarav Agarwal,IT095,BTECH-IT,IT_SEM1,B,123
Rohan Tiwari,IT096,BTECH-IT,IT_SEM1,B,123
Ananya Verma,IT097,BTECH-IT,IT_SEM1,B,123
Meera Chauhan,IT098,BTECH-IT,IT_SEM1,B,123
Kavya Verma,IT099,BTECH-IT,IT_SEM1,B,123
Kunal Mehta,IT100,BTECH-IT,IT_SEM1,B,123
Vivaan Singh,IT101,BTECH-IT,IT_SEM1,B,123
Amit Yadav,IT102,BTECH-IT,IT_SEM1,B,123
Ira Kapoor,IT103,BTECH-IT,IT_SEM1,B,123
Riya Kapoor,IT104,BTECH-IT,IT_SEM1,B,123
Sai Chopra,IT105,BTECH-IT,IT_SEM1,B,123
Sneha Kapoor,IT106,BTECH-IT,IT_SEM1,B,123
Sara Jain,IT107,BTECH-IT,IT_SEM1,B,123
Kavya Malhotra,IT108,BTECH-IT,IT_SEM1,B,123
Dev Verma,IT109,BTECH-IT,IT_SEM1,B,123
Sara Agarwal,IT110,BTECH-IT,IT_SEM1,B,123
Ira Joshi,IT111,BTECH-IT,IT_SEM1,B,123
Meera Mittal,IT112,BTECH-IT,IT_SEM1,B,123
Riya Jain,IT113,BTECH-IT,IT_SEM1,B,123
Anika Pandey,IT114,BTECH-IT,IT_SEM1,B,123
Sneha Tiwari,IT115,BTECH-IT,IT_SEM1,B,123
Yash Mehta,IT116,BTECH-IT,IT_SEM1,B,123
Arjun Kumar,IT117,BTECH-IT,IT_SEM1,B,123
Aryan Pandey,IT118,BTECH-IT,IT_SEM1,B,123
Riya Gupta,IT119,BTECH-IT,IT_SEM1,B,123
Reyansh Kapoor,IT120,BTECH-IT,IT_SEM1,B,123
